date,symbol,engagement_ratio,rank
2022-01-31,C,0.28328328912526735,30.0
2022-01-31,CB,0.23388378184803316,37.0
2022-01-31,CMG,0.21088790836933682,45.0
2022-01-31,CRM,0.24779334038278214,34.0
2022-01-31,D,1.1366783827725544,1.0
2022-01-31,DAL,0.40105976619219535,14.0
2022-01-31,DD,0.4335027026880084,10.0
2022-01-31,DIS,0.2241823383648197,41.0
2022-01-31,EA,0.2788943808257857,31.0
2022-01-31,EBAY,0.2633975087886788,32.0
2022-01-31,EL,0.25650701307215296,33.0
2022-01-31,ES,0.13536960352624572,61.0
2022-01-31,F,0.18517241595395031,54.0
2022-01-31,FCX,0.6552365882726817,5.0
2022-01-31,GILD,0.3118508631244436,22.0
2022-01-31,GOOG,0.15256613542009684,60.0
2022-01-31,GOOGL,0.20302562792029855,47.0
2022-01-31,GS,0.2959160441029397,27.0
2022-01-31,HBAN,0.40432766559016203,13.0
2022-01-31,ILMN,0.4585725419071342,8.0
2022-01-31,J,0.2356790883892824,36.0
2022-01-31,JPM,0.2401770260267202,35.0
2022-01-31,K,0.2967863568873639,25.0
2022-01-31,KEY,0.41695597771700915,11.0
2022-01-31,KO,0.16015529300828124,59.0
2022-01-31,L,0.21083123953098826,46.0
2022-01-31,LUV,1.0352577473239168,2.0
2022-01-31,MA,0.729062922392157,3.0
2022-01-31,META,0.22420081976440434,40.0
2022-01-31,MNST,0.45612853578739504,9.0
2022-01-31,MO,0.17556976128292034,58.0
2022-01-31,MRO,0.23307922480476867,38.0
2022-01-31,MSFT,0.1963623541887156,48.0
2022-01-31,MU,0.17650990332159186,57.0
2022-01-31,NFLX,0.18008370226375683,56.0
2022-01-31,NKE,0.18854181932908967,52.0
2022-01-31,NUE,0.3269125097083012,19.0
2022-01-31,NVDA,0.18866741163619916,51.0
2022-01-31,OXY,0.21589137426569593,43.0
2022-01-31,PEP,0.1929243444359133,50.0
2022-01-31,PFE,0.3056126162311432,23.0
2022-01-31,PG,0.22584132067831506,39.0
2022-01-31,PM,0.19508029124842807,49.0
2022-01-31,REGN,0.3352401955740044,17.0
2022-01-31,SLB,0.32568988563190215,20.0
2022-01-31,STZ,0.47591440723922,7.0
2022-01-31,T,0.2966993629748068,26.0
2022-01-31,TSLA,0.10602211899144735,62.0
2022-01-31,TSN,0.300743591727621,24.0
2022-01-31,V,0.21105338186092537,44.0
2022-02-28,A,0.4166840771698662,12.0
2022-02-28,AAL,0.3733491101106145,17.0
2022-02-28,AAP,0.3434792760808607,20.0
2022-02-28,AAPL,0.16461523324648364,65.0
2022-02-28,ABBV,0.21538572199216335,50.0
2022-02-28,ABT,0.30113407464023767,28.0
2022-02-28,AEP,0.3098575740842669,25.0
2022-02-28,AES,0.26669999152535845,32.0
2022-02-28,AMD,0.4045897955215886,13.0
2022-02-28,AMZN,0.22563258399694228,43.0
2022-02-28,ATVI,0.19091736651479757,57.0
2022-02-28,BA,0.43739106959936025,10.0
2022-02-28,BIIB,0.44006455509361714,9.0
2022-02-28,BKR,0.2609483297392847,35.0
2022-02-28,C,0.25916178343941426,36.0
2022-02-28,CB,0.24679774689909756,38.0
2022-02-28,CMG,0.19481859416121686,54.0
2022-02-28,CRM,0.16686177661062299,63.0
2022-02-28,D,0.49669370926518336,6.0
2022-02-28,DAL,0.30632180415383864,26.0
2022-02-28,DD,0.43649359682325545,11.0
2022-02-28,DIS,0.2624657817222441,34.0
2022-02-28,EA,0.2817146118313326,31.0
2022-02-28,EBAY,0.29858021588145306,29.0
2022-02-28,EL,0.23912923904334862,40.0
2022-02-28,ENPH,0.20605313386705867,52.0
2022-02-28,ES,0.10619145892589146,69.0
2022-02-28,F,0.1985326849966553,53.0
2022-02-28,FCX,1.1383321537291695,2.0
2022-02-28,GILD,0.5308860767822751,5.0
2022-02-28,GOOG,0.1322600474285866,67.0
2022-02-28,GOOGL,0.16681096004530344,64.0
2022-02-28,GS,0.3104896658664343,24.0
2022-02-28,HBAN,0.4954954954954955,7.0
2022-02-28,ILMN,0.2660112534001237,33.0
2022-02-28,INTC,0.2192502914048691,47.0
2022-02-28,J,0.3044573065698436,27.0
2022-02-28,JPM,0.22014054069976982,45.0
2022-02-28,K,0.28275992068173184,30.0
2022-02-28,KEY,0.3435907529050419,19.0
2022-02-28,KO,0.21686783603650814,49.0
2022-02-28,L,0.32088126703200653,22.0
2022-02-28,LMT,0.16736995240829672,62.0
2022-02-28,LUV,1.5743768373882887,1.0
2022-02-28,MA,0.18771557823079624,58.0
2022-02-28,META,0.19419364937690337,55.0
2022-02-28,MNST,0.21484353324044056,51.0
2022-02-28,MO,0.17719879859598178,60.0
2022-02-28,MRNA,0.3964102751891138,14.0
2022-02-28,MRO,0.5817478739266762,4.0
2022-02-28,MSFT,0.2253222407319937,44.0
2022-02-28,MU,0.19229822653846781,56.0
2022-02-28,NFLX,0.1377154946291045,66.0
2022-02-28,NKE,0.18591134228041442,59.0
2022-02-28,NUE,0.21976333030645614,46.0
2022-02-28,NVDA,0.2452110019146481,39.0
2022-02-28,OXY,1.0255785342458477,3.0
2022-02-28,PEP,0.23378046981164932,41.0
2022-02-28,PFE,0.4456687319374418,8.0
2022-02-28,PG,0.17627409707144165,61.0
2022-02-28,PM,0.22614390804815984,42.0
2022-02-28,REGN,0.38893448353243865,15.0
2022-02-28,SLB,0.2516225477041408,37.0
2022-02-28,STZ,0.33637508222772233,21.0
2022-02-28,T,0.3646343097594934,18.0
2022-02-28,TMO,0.21711082690554193,48.0
2022-02-28,TSLA,0.10919579369472991,68.0
2022-02-28,TSN,0.3173242468204204,23.0
2022-02-28,V,0.3851916782643666,16.0
2022-03-31,A,5.237229822693699,1.0
2022-03-31,AAL,0.5186762511055786,8.0
2022-03-31,AAP,0.3538906296296115,21.0
2022-03-31,AAPL,0.14488854924307998,64.0
2022-03-31,ABBV,0.19031896710381077,52.0
2022-03-31,ABT,0.3020331844945297,28.0
2022-03-31,AEP,0.4093430183726184,15.0
2022-03-31,AES,0.4540982365851812,13.0
2022-03-31,AMD,0.47180897844413205,12.0
2022-03-31,AMZN,0.17942638891230422,60.0
2022-03-31,ATVI,0.23655742325721024,41.0
2022-03-31,BA,0.48706512986947087,10.0
2022-03-31,BIIB,0.3900095604349866,17.0
2022-03-31,BKR,0.3981521021712191,16.0
2022-03-31,C,0.282277635658018,35.0
2022-03-31,CB,0.2678363201316821,39.0
2022-03-31,CMG,0.18751384798288792,58.0
2022-03-31,CRM,0.8435863478174491,3.0
2022-03-31,D,0.3001790705327704,29.0
2022-03-31,DAL,0.43370100126520944,14.0
2022-03-31,DD,0.6359506242763758,6.0
2022-03-31,DIS,0.23012610089178714,43.0
2022-03-31,EA,0.3218930210951485,26.0
2022-03-31,EBAY,0.216161615232006,45.0
2022-03-31,EL,0.3223997956388282,25.0
2022-03-31,ENPH,0.18890278928897158,56.0
2022-03-31,ES,0.13687295021766466,66.0
2022-03-31,F,0.20286737127369003,49.0
2022-03-31,FCX,0.5652260708162161,7.0
2022-03-31,GILD,0.3298653995532707,23.0
2022-03-31,GOOG,0.13930657091036583,65.0
2022-03-31,GOOGL,0.18984299661078674,54.0
2022-03-31,GS,0.27054742369602514,37.0
2022-03-31,ILMN,0.36632285244268237,19.0
2022-03-31,INTC,0.21167331572611015,46.0
2022-03-31,J,0.18712560440572268,59.0
2022-03-31,JPM,0.24519300014425346,40.0
2022-03-31,K,0.3851273206925192,18.0
2022-03-31,KEY,0.4971929251467202,9.0
2022-03-31,KO,0.18763861382113325,57.0
2022-03-31,L,0.2920392582609516,30.0
2022-03-31,LMT,0.2844312862372213,34.0
2022-03-31,MA,0.2051114612596736,48.0
2022-03-31,META,0.16368492772629517,63.0
2022-03-31,MNST,0.2871485065266368,31.0
2022-03-31,MO,0.1955393540909378,51.0
2022-03-31,MRNA,0.3146088440723163,27.0
2022-03-31,MRO,0.3329872011601367,22.0
2022-03-31,MSFT,0.27038693100912237,38.0
2022-03-31,MU,0.36075056407522627,20.0
2022-03-31,NFLX,0.16890156695807906,62.0
2022-03-31,NKE,0.18895410873478746,55.0
2022-03-31,NUE,0.19662672595459482,50.0
2022-03-31,NVDA,0.21163390093768833,47.0
2022-03-31,OXY,0.47639247974183313,11.0
2022-03-31,PEP,0.2163423332320497,44.0
2022-03-31,PFE,0.7677506862463326,4.0
2022-03-31,PG,0.1751027313648687,61.0
2022-03-31,PM,0.6978864052185798,5.0
2022-03-31,REGN,0.28646379186974774,32.0
2022-03-31,SLB,0.23121481420947218,42.0
2022-03-31,STZ,3.412125444747769,2.0
2022-03-31,T,0.2753769060300889,36.0
2022-03-31,TMO,0.285626521366605,33.0
2022-03-31,TSLA,0.10503262909438481,67.0
2022-03-31,TSN,0.32268915419426486,24.0
