Date,AAPL,MSFT,NVDA,AMD,GE,IBM,GS,BA,GM,Portfolio_rets
2023-05-08,,,,,,,,,,
2023-05-09,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2023-05-10,0.0,0.0,0.0,0.020408862713570678,-0.014560986143047183,0.0,-0.0,-0.005164932726228428,-0.0,7.588264936611847e-05
2023-05-11,0.0010941375813929384,-0.00706925044001154,-0.0,0.0008242513661281508,-0.0,-0.0,-0.0,0.004966733256636242,0.0,-2.0458692872689886e-05
2023-05-12,-0.006814490743398574,-0.003682837255539793,-0.0,-0.01913134178479309,-0.0,0.0,-0.0,-0.005664045592453833,-0.0,-0.003921412819576144
2023-05-15,-0.0,0.001584626692463848,0.0,0.022216208516620976,0.0,0.004224249002151648,0.0,0.010261112254128011,-0.0,0.004254021829484943
2023-05-16,0.0,0.007340660285556093,0.0,0.041035541496239045,-0.008566023951053959,0.0008102947874250513,-0.0,-0.009414444512715597,-0.0,0.0034673364561611814
2023-05-17,0.0,0.007223510173534132,0.03249934565279724,0.022122391299971473,0.022874868349447703,0.018060450093716388,0.0,0.029432644713532928,0.0,0.014690356698111097
2023-05-18,0.0,0.014292246989190247,0.04850925174030614,0.039498712553981574,0.005205375652275659,0.003494027538929544,-0.0018188622765938646,0.0017870154012115931,0.0,0.012329751955477877
2023-05-19,0.0006281980061119212,-0.0005652503995028339,-0.013155107072375228,-0.01974333707271768,0.0024006725808608264,0.008760567408175508,-0.010461696312350721,-0.008480170769074973,-0.0,-0.004512902625652575
2023-05-22,-0.0054958159407207455,0.008881708331310564,-0.002818723353797321,0.02039169253214797,0.002777655953658382,0.0018841100074883691,-0.0037783400192443043,0.002041800221250621,0.0,0.0026537875257881707
2023-05-23,-0.015271001481647386,-0.018603964654439004,-0.01577688474840962,0.0011105196871161916,-0.02763806213253391,0.0053191043374925286,-0.004163543032338905,-0.016205575964531784,0.0,-0.010136600887699097
2023-05-24,0.001630744591288417,-0.0044825419640336876,-0.004899888861553609,0.0013863295062649232,-0.007104852600095092,-0.01969647256041088,-0.011688434656182389,-0.01657291145546814,-0.03470666279239201,-0.01068163231028694
2023-05-25,0.0,0.03773680946719584,0.21808784749283672,0.1057760752328018,0.005333295619744214,0.008556555299716936,0.0,0.0,0.0,0.04172117590136617
2023-05-26,0.0,0.021160155404894247,0.02511637609549447,0.054019117875400785,0.011945703539386576,0.01666377100596319,0.0,0.0,0.0,0.014322791546793251
2023-05-30,0.010603169101558126,-0.0050595595899617825,0.029474525051019204,-0.013951888367289389,-0.0033147915345234907,0.00456707337972791,-0.003560510670744083,0.0,0.0021005166979504424,0.0023176148964152155
2023-05-31,-0.00028206488032115034,-0.008550618441348575,-0.058442414825912475,-0.058008685041151684,-0.008532420256197949,-0.006897376257582769,-0.021169800354250055,0.004922130400170077,-0.028890583341049724,-0.020650203666404923
